"Dataset","Emb. dim","Reg. loss","Class. loss","Batch","Margin","Model","Trained Layers","Whitening","Ind. loss","Epochs","P@1","P@3","P@5","P@10","MAP","Correlation","Sparsity"
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",1,0.699999988079071,0.6700000762939453,0.671999990940094,0.6579999327659607,0.4733366370201111,0.22817403078079224,1.627604149234685e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",2,0.75,0.7100001573562622,0.7019999623298645,0.6840000152587891,0.5429259538650513,0.24174921214580536,1.1393229470968436e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",3,0.7699999809265137,0.7400000095367432,0.7300000190734863,0.6969999670982361,0.5701669454574585,0.27085956931114197,1.7903646210015722e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",4,0.7900000214576721,0.7400000691413879,0.7400000095367432,0.7209999561309814,0.6133983731269836,0.273250013589859,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",5,0.8199999928474426,0.7933334112167358,0.7699999809265137,0.7499999403953552,0.6414710283279419,0.28543126583099365,1.3020833478094573e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",1,0.7799999713897705,0.7300000190734863,0.7060000896453857,0.6859999895095825,0.4729623794555664,0.20455977320671082,1.3020833478094573e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",2,0.7599999904632568,0.7233333587646484,0.7080000042915344,0.6890000104904175,0.5425227880477905,0.2133093774318695,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",3,0.7799999713897705,0.753333330154419,0.7460000514984131,0.715999960899353,0.5816466808319092,0.21950821578502655,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",4,0.7900000214576721,0.7466667294502258,0.7280000448226929,0.7269999980926514,0.6052569150924683,0.2374749481678009,1.627604149234685e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",5,0.7400000095367432,0.753333330154419,0.7480000257492065,0.7319999933242798,0.6247016787528992,0.24065741896629333,9.765624753299562e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",1,0.6700000166893005,0.6533333659172058,0.6480000019073486,0.6219999194145203,0.3337668478488922,0.13120296597480774,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",2,0.7200000286102295,0.6966667175292969,0.7119999527931213,0.6800000071525574,0.45645105838775635,0.14464931190013885,8.138020746173424e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",3,0.75,0.7433333396911621,0.7139999270439148,0.6869999766349792,0.5104906558990479,0.137174591422081,1.9531249506599124e-07
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",4,0.7699999809265137,0.7566667199134827,0.7360000014305115,0.7149999737739563,0.5443665385246277,0.12897983193397522,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",5,0.8100000023841858,0.7799999713897705,0.7599999308586121,0.7300000190734863,0.581402063369751,0.12851795554161072,8.138020746173424e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,0.8299999833106995,0.7766666412353516,0.7520000338554382,0.7310000061988831,0.3825205862522125,0.08392944931983948,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,0.8100000023841858,0.7966668009757996,0.7699999809265137,0.7440000176429749,0.44367676973342896,0.09490837156772614,4.882812376649781e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,0.8199999928474426,0.7800000905990601,0.7599999904632568,0.7460000514984131,0.46915435791015625,0.10502851009368896,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,0.8399999737739563,0.7700001001358032,0.7539999485015869,0.7470000386238098,0.4748789966106415,0.11162489652633667,9.765624753299562e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,0.7699999809265137,0.7833333611488342,0.7639999985694885,0.7450000047683716,0.4758293032646179,0.11631850898265839,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",1,0.7300000190734863,0.7266666889190674,0.7379999756813049,0.7329999804496765,0.37637946009635925,0.0829533040523529,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",2,0.7900000214576721,0.7733333706855774,0.7619999647140503,0.7319999933242798,0.43585672974586487,0.09198445081710815,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",3,0.7799999713897705,0.7733333706855774,0.7720000743865967,0.7580000162124634,0.459301233291626,0.10027869045734406,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",4,0.8100000023841858,0.7866666913032532,0.7700001001358032,0.7619999647140503,0.47629696130752563,0.10680095106363297,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",5,0.7300000190734863,0.7833333611488342,0.7699999809265137,0.7599999904632568,0.47900649905204773,0.11172426491975784,4.882812376649781e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",1,0.6899999976158142,0.6800000071525574,0.6800000667572021,0.6640000343322754,0.27560827136039734,0.07994570583105087,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",2,0.7300000190734863,0.7166666984558105,0.7099999785423279,0.6830000281333923,0.30928918719291687,0.07940671592950821,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",3,0.7599999904632568,0.7300000190734863,0.7440000176429749,0.7139999866485596,0.34163588285446167,0.07961674779653549,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",4,0.7599999904632568,0.7500000596046448,0.7459999918937683,0.7270000576972961,0.3645929992198944,0.0793500691652298,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",5,0.7799999713897705,0.736666738986969,0.7299998998641968,0.7310000061988831,0.3744052052497864,0.07875931262969971,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",1,0.9300000071525574,0.8966666460037231,0.8959999680519104,0.8949999809265137,0.7456517815589905,0.10526928305625916,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",2,0.9200000166893005,0.9133334159851074,0.9019998908042908,0.9030000567436218,0.8165735006332397,0.13183574378490448,0.0
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",3,0.9300000071525574,0.9133333563804626,0.9140000939369202,0.9139999151229858,0.8418752551078796,0.14479100704193115,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",4,0.9399999976158142,0.9266667366027832,0.9239999651908875,0.9200000166893005,0.8530491590499878,0.15214857459068298,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",5,0.9200000166893005,0.9266667366027832,0.921999990940094,0.925000011920929,0.8549398183822632,0.15661561489105225,8.138020746173424e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",1,0.9200000166893005,0.90666663646698,0.8999999165534973,0.8930000066757202,0.746065080165863,0.10354207456111908,8.138020746173424e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",2,0.8999999761581421,0.9033334255218506,0.9059999585151672,0.9049999713897705,0.8086842894554138,0.12769347429275513,8.138020746173424e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",3,0.9300000071525574,0.90666663646698,0.9180000424385071,0.9150000214576721,0.8417415618896484,0.14145222306251526,6.510416739047287e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",4,0.9200000166893005,0.9066668152809143,0.9179999828338623,0.925000011920929,0.8574310541152954,0.14930687844753265,8.138020746173424e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",5,0.9399999976158142,0.9266667366027832,0.9300000071525574,0.9259999990463257,0.8597630858421326,0.15632911026477814,4.882812376649781e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",1,0.9200000166893005,0.8899999856948853,0.8880000114440918,0.8830000162124634,0.580467164516449,0.08133718371391296,9.765624753299562e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",2,0.9100000262260437,0.9133333563804626,0.9040000438690186,0.9040000438690186,0.7168840169906616,0.08996424823999405,3.2552083695236433e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",3,0.9100000262260437,0.9133332967758179,0.8999999761581421,0.9040000438690186,0.7780015468597412,0.10033109784126282,1.6276041847618217e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",4,0.9100000262260437,0.9233334064483643,0.9159998893737793,0.9130000472068787,0.8120626211166382,0.10766419768333435,4.882812376649781e-08
"CIFAR10",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",5,0.9200000166893005,0.9200000166893005,0.9160000085830688,0.9229999780654907,0.8272034525871277,0.11187857389450073,4.882812376649781e-08
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",1,1.0,0.8787879943847656,0.8727273344993591,0.7581817507743835,0.6802179217338562,0.1333262026309967,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",2,1.0,0.9333334565162659,0.919999897480011,0.8218181729316711,0.789673388004303,0.14902406930923462,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",3,1.0,0.9636364579200745,0.9345454573631287,0.8545454740524292,0.8280274868011475,0.16408127546310425,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",4,1.0,0.9696969985961914,0.9599999785423279,0.8781818151473999,0.881118655204773,0.1757875382900238,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss1",5,1.0,0.9939393401145935,0.9890909194946289,0.9090908169746399,0.8791879415512085,0.18698443472385406,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",1,1.0,0.9151514768600464,0.880000114440918,0.7654545307159424,0.7261571288108826,0.13068288564682007,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",2,1.0,0.9515151977539062,0.9236364364624023,0.8309091329574585,0.8035333752632141,0.1456056833267212,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",3,1.0,0.9636364579200745,0.9527272582054138,0.8690909743309021,0.8381341695785522,0.16029825806617737,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",4,1.0,0.9878788590431213,0.9818181991577148,0.8981817960739136,0.890694260597229,0.17305061221122742,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","NegApproxLoss2",5,1.0,0.9818181991577148,0.978181779384613,0.8963636159896851,0.8870558142662048,0.17956319451332092,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",1,1.0,0.8121212124824524,0.749090850353241,0.5909090638160706,0.44701191782951355,0.11657232791185379,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",2,1.0,0.8848485350608826,0.854545533657074,0.7163636088371277,0.6416055560112,0.1130216121673584,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",3,1.0,0.9333333969116211,0.9054545164108276,0.7963636517524719,0.7659229040145874,0.12464483082294464,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",4,1.0,0.957575798034668,0.9163635969161987,0.8345454931259155,0.8089578151702881,0.13733133673667908,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"AlexNet",1,"ZCA2","KurtosisLoss",5,1.0,0.957575798034668,0.9272727370262146,0.8418181538581848,0.8340951800346375,0.14442573487758636,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",1,1.0,0.8909090757369995,0.8109090924263,0.6618182063102722,0.5053219795227051,0.10148652642965317,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",2,1.0,0.9212121367454529,0.8509091734886169,0.7309091091156006,0.5790866017341614,0.10147634893655777,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",3,1.0,0.939393937587738,0.8981818556785583,0.7654545307159424,0.6692779660224915,0.10281845927238464,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",4,1.0,0.9515151977539062,0.9163635969161987,0.7963637113571167,0.7218103408813477,0.104006327688694,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss1",5,1.0,0.957575798034668,0.923636257648468,0.8218181133270264,0.7541864514350891,0.1047370582818985,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",1,1.0,0.903030276298523,0.8218181729316711,0.6745454668998718,0.5114951133728027,0.10144020617008209,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",2,1.0,0.9151514768600464,0.8472726941108704,0.7290908694267273,0.5840967893600464,0.1012008935213089,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",3,1.0,0.9212121367454529,0.8799999356269836,0.7690909504890442,0.6484076976776123,0.10185723751783371,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",4,1.0,0.939393937587738,0.9163635969161987,0.800000011920929,0.7183563709259033,0.10358463227748871,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","NegApproxLoss2",5,1.0,0.9636363387107849,0.9236363768577576,0.8272727131843567,0.7530694007873535,0.10537867248058319,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",1,1.0,0.8787879347801208,0.7745454907417297,0.6290909051895142,0.43247756361961365,0.10123420506715775,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",2,1.0,0.8909090757369995,0.7745454907417297,0.6381818056106567,0.44287559390068054,0.10069940984249115,3.8161880411280436e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",3,1.0,0.8969696760177612,0.8109090924263,0.674545407295227,0.48578062653541565,0.10068176686763763,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",4,1.0,0.9151514768600464,0.8436363935470581,0.6909090876579285,0.5388283729553223,0.10028339177370071,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ResNet18",1,"ZCA2","KurtosisLoss",5,1.0,0.9151514768600464,0.8654544949531555,0.7290908694267273,0.5913040041923523,0.10030871629714966,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",1,1.0,0.8666666746139526,0.7890908718109131,0.6545455455780029,0.5234681963920593,0.10543154180049896,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",2,1.0,0.9090909957885742,0.8581818342208862,0.7381818890571594,0.6430870890617371,0.1059516966342926,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",3,1.0,0.939393937587738,0.8981817960739136,0.7909091114997864,0.7207992076873779,0.10730104148387909,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",4,1.0,0.957575798034668,0.9199999570846558,0.8163635730743408,0.7735387086868286,0.10835078358650208,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss1",5,1.0,0.9696969389915466,0.941818118095398,0.8418181538581848,0.7951486110687256,0.11191631853580475,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",1,1.0,0.8787878751754761,0.7818180918693542,0.6618182063102722,0.5423650145530701,0.1049812063574791,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",2,1.0,0.9212121367454529,0.8618181943893433,0.7418181896209717,0.657087504863739,0.10498659312725067,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",3,1.0,0.9333333969116211,0.8981817960739136,0.7836363315582275,0.7214416265487671,0.10678107291460037,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",4,1.0,0.9454545378684998,0.9272727370262146,0.8254545331001282,0.7719541192054749,0.10902252793312073,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","NegApproxLoss2",5,1.0,0.957575798034668,0.9345453977584839,0.8472727537155151,0.7993761301040649,0.10985872149467468,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",1,1.0,0.8181818127632141,0.7054545283317566,0.5854545831680298,0.41542816162109375,0.10614022612571716,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",2,1.0,0.8545454144477844,0.749090850353241,0.6163636445999146,0.480374276638031,0.10391391813755035,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",3,1.0,0.8727272748947144,0.8218181729316711,0.6818181872367859,0.5851666331291199,0.10246370732784271,1.9080940205640218e-07
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",4,1.0,0.9151514768600464,0.8545454740524292,0.7181817889213562,0.6556659936904907,0.10122284293174744,0.0
"Oxford5k",1024,"","Enable","10/10",0.2,"ViT",1,"ZCA2","KurtosisLoss",5,1.0,0.9333333969116211,0.8981818556785583,0.7854545712471008,0.7255508899688721,0.10142014920711517,0.0
